turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,1-0,2-1,-1,-1
2,0,0,0,move1,move1,mobilize,1,move1,1-4,1-3,3-4,3-3
3,1,0,0,move1,move1,mobilize,1,move1,3-0,3-1,-1,-1
4,0,0,0,move1,move1,mobilize,0,move1,3-3,2-3,-1,-1
5,1,0,0,capture,move1,mobilize,0,capture,3-1,3-0,-1,-1
6,0,0,3,capture,move1,mobilize,0,capture,2-3,2-1,2-4,-1
7,1,0,3,capture,move1,mobilize,2,mobilize,1-0,1-1,3-0,3-1
8,0,0,6,capture,move1,mobilize,0,capture,2-3,2-0,2-4,-1
9,1,3,6,swap,move1,mobilize,0,swap,1-1,1-3,1-0,-1
10,0,3,6,move1,move1,mobilize,0,move1,1-4,1-1,-1,-1
11,1,3,6,move1,move1,move1,2,move1,1-0,2-0,3-1,2-1
12,0,3,6,capture,move1,move1,0,capture,1-1,1-2,-1,-1
13,1,6,6,move1,move1,move1,0,move1,2-1,2-3,2-0,-1
14,0,6,7,move2,move1,move1,0,move2,1-2,2-2,-1,-1
15,1,6,7,capture,move1,move1,0,capture,1-4,2-3,-1,-1
16,0,6,11,move2,move1,move1,0,move2,2-2,2-1,-1,-1
17,1,6,11,swap,move1,move1,0,swap,2-3,1-2,-1,-1
18,0,6,11,mobilize,move1,move1,0,mobilize,2-2,1-2,-1,-1
19,1,7,11,mobilize,move1,move1,0,mobilize,2-0,2-1,1-0,1-1
20,0,7,11,move2,move1,move1,0,move2,2-4,2-3,3-4,3-3
21,1,8,11,move1,move1,move1,0,move1,2-1,3-2,-1,-1
22,0,8,11,move2,move1,move1,0,move2,1-2,1-3,-1,-1
23,1,9,11,move2,swap,move1,1,swap,1-1,2-1,-1,-1
24,0,9,12,move2,move2,move1,1,move2,1-3,2-2,-1,-1
25,1,9,12,move2,move2,swap,2,swap,1-3,1-2,-1,-1
26,0,9,13,move2,move2,move1,2,move1,3-3,3-2,-1,-1
27,1,9,13,move2,move2,move1,2,move1,2-1,1-1,-1,-1
28,0,9,14,move1,move2,move1,0,move1,3-2,2-1,-1,-1
29,1,9,14,capture,move2,move1,0,capture,3-3,3-2,-1,-1
30,0,9,18,swap,move2,move1,0,swap,2-1,1-1,-1,-1
31,1,9,18,move1,move2,move1,0,move1,1-0,2-1,-1,-1
32,0,9,19,move1,swap,move1,1,swap,1-0,1-1,-1,-1
33,1,10,19,move1,capture,move1,1,capture,3-2,2-2,-1,-1
34,0,10,22,move1,swap,move1,1,swap,1-1,2-1,-1,-1
35,1,11,22,move1,move1,move1,1,move1,1-0,1-1,-1,-1
36,0,11,22,mobilize,move1,move1,0,mobilize,3-2,3-3,-1,-1
37,1,12,22,mobilize,move1,move1,1,move1,1-1,2-1,-1,-1
38,0,12,22,mobilize,move1,move1,0,mobilize,2-3,1-3,1-0,1-1
39,1,12,22,mobilize,capture,move1,1,capture,2-2,3-2,-1,-1
40,0,12,25,mobilize,move2,move1,1,move2,1-3,1-2,-1,-1
41,1,13,25,capture,move2,move1,0,capture,1-0,2-0,3-2,2-2
42,0,13,28,move2,move2,move1,0,move2,1-1,2-1,-1,-1
43,1,13,28,move2,move2,move1,0,move2,2-2,2-1,-1,-1
44,0,13,28,move2,move2,capture,2,capture,1-1,1-2,-1,-1
45,1,13,28,swap,move2,capture,0,swap,2-1,1-1,-1,-1
46,0,13,31,swap,move2,mobilize,2,mobilize,1-2,1-1,-1,-1
47,1,13,31,move2,move2,mobilize,0,move2,1-0,1-2,-1,-1
48,0,13,31,mobilize,move2,mobilize,0,mobilize,1-0,1-1,-1,-1
49,1,13,31,mobilize,move2,mobilize,0,mobilize,2-0,2-1,3-0,3-1
50,0,13,32,mobilize,move1,mobilize,1,move1,3-3,2-2,-1,-1
